PRODUCTO,COLOR,GENERO
37084035,01,M
37084034,05,P
37084033,50,A
37084033,61,A
37084032,35,H
37084031,94,H
37084030,02,H
37084030,37,H
37084030,56,H
37084029,37,M
37084029,20,M
37084028,20,H
37084027,12,U
37084026,07,E
37084025,94,D
37084024,99,O
37084024,56,O
37084024,94,O
37084023,56,U
37084021,49,M
37084020,88,M
37084019,99,M
37084018,37,U
37084018,05,U
37084018,52,U
37084018,79,U
37084018,62,U
37084018,35,U
37084017,20,M
37084017,43,M
37084016,08,H
37084015,94,M
37084014,02,M
37084013,70,M
37084013,37,M
37084013,99,M
37084013,35,M
37084013,88,M
37084012,43,M
37084012,99,M
37084012,40,M
37084012,35,M
37084012,09,M
37084012,70,M
37084012,92,M
37084012,05,M
37084012,20,M
37084011,05,M
37084010,12,M
37084010,99,M
37084009,99,M
37084009,07,M
37084008,CU,M
37084007,99,M
37084006,96,H
37084006,57,H
37084005,99,M
37084005,43,M
37084005,01,M
37084004,95,H
37084003,OR,M
37084002,TN,M
37084001,37,H
37084001,57,H
37083855,01,M
37083854,TN,M
37083853,99,M
37083852,88,M
37083851,01,M
37083851,99,M
37083850,37,Q
37083849,99,M
37083848,TO,M
37083847,05,H
37083846,20,M
37083845,TM,M
37083844,30,M
37083842,99,A
37083841,61,E
37083840,07,F
37083840,91,F
37083839,99,M
37083839,37,M
37083838,43,A
37083838,94,A
37083837,99,Q
37083836,91,P
37083836,50,P
37083835,TM,A
37083834,05,M
37083272,99,Q
37083271,52,E
37083270,59,F
37083269,43,M
37083268,07,E
37083267,99,Q
37083267,30,Q
37083266,02,F
37083265,56,A
37083264,07,F
37083264,38,F
37083263,43,D
37083262,99,Q
37083262,05,Q
37083261,52,Q
37083260,56,A
37083260,92,A
37083259,TM,A
37083258,TM,D
37083257,45,Q
37083257,TG,Q
37083256,78,D
37083255,43,O
37083255,76,O
37083254,56,O
37083253,99,O
37083253,56,O
37083253,94,O
37082887,02,F
37082885,30,O
37082884,08,U
37082883,OR,Q
37082881,31,M
37082880,30,M
